연 번,관리기관,설치연도,설치구간,연장(m)
1,종로구,2023,명륜길(명륜길 74 ~ 명륜9길 1),160
2,종로구,2023,사직로1길(행촌동 174-5 ~ 171-35),75
3,종로구,2023,사직로1다길(행촌동 201-172 ~ 171-120),95
4,종로구,2023,평창길(평창동 435-2 ~ 평창동 448),150
5,종로구,2023,평창30길(평창동 66-28 ~ 464-14),210
6,종로구,2023,홍지문길(구기동 54-13 ~ 40-1),190
7,종로구,2023,백석동길(창의문로 132 ~ 백석동길 12-1),105
8,종로구,2023,창덕궁길(창덕궁길 190 ~ 창덕궁5길 40),355
9,종로구,2023,율곡로19길(율곡로19길 24 ~ 율곡로 19길 68-2),175
10,종로구,2023,홍지문길(홍지문길 2 ~ 홍지문2길 2),130
11,종로구,2023,평창20길(평창동 148-16 ~ 평창동 139-5),130
12,종로구,2024,성균관로 13길(국제고 일대(명륜1가 7-69 ~ 명륜3가 1-1003),275
13,종로구,2024,명륜10길(명륜9길 3-2 ~ 명륜10길 16),80
14,종로구,2024,동망산길(숭인동 7-8 ~ 숭인동 24-3),200
15,종로구,2024,홍지문길(홍지문2길 2 ~ 구기동 41-4),550
16,종로구,2024,평창21길(평창문화로 99 ~ 평창21길 9-14),200
17,종로구,2024,평창길(평창길 52 ~ 평창문화로 33),530
18,종로구,2024,평창4길(평창4길 1 ~ 평창4길 9-1),100
19,중구,2020,중림로 2-1 ~ 중림로4길 32(중림로4길),182
20,중구,2020,"퇴계로6가길32 ~ 소월로 39-1(퇴계로2길, 퇴계로6가길)",128
21,중구,2020,다산로36길 100(다산로36길),305
22,중구,2020,퇴계로68길 24-1 ~ 신당동229-56(장충단로10길),67
23,중구,2022,"필동로8길 16 ~ 필동로8가길 56(필동로8길, 필동로8가길)",330
24,중구,2022,퇴계로6길 27 ~ 47(퇴계로6길),120
25,중구,2022,동호로15길 40~130-2(동호로15길),40
26,중구,2022,동호로11나길 81 ~ 동호로11나길 60(동호로11나길),140
27,중구,2022,동호로17길 133 ~ 동호로17길 131-18(동호로17길),65
28,중구,2022,퇴계로88다길 37~ 다산로36가길 38(다산로36가길),42
29,중구,2023,퇴계로90길 73~퇴계로88가길 48-26(퇴계로90길),100
30,중구,2023,동호로5길 19~다산로 32(동호로5길),150
31,중구,2023,동호로25가길 21 ~ 동호로25길 46(동호로25가길),200
32,중구,2023,동호로25가길 3 ~ 9(동호로25가길),50
33,중구,2023,만리재로21길 9 ~ 13(만리재로21길),60
34,중구,2023,동호로11라길 33 ~ 47(동호로11라길),70
35,중구,2023,동호로17길 65 ~ 동호로17가길 18(동호로17길),123
36,중구,2023,동호로11마길 24 ~ 동호로11자길 33(동호로11마길),200
37,중구,2023,중림로2길 3 ~ 31(중림로2길),170
38,중구,2023,만리재로37길 43 ~ 64(만리재로37길),130
39,중구,2023,필동로8길 63 ~ 61-7(필동로8길),65
40,중구,2023,난계로 130(난계로10길),105
41,중구,2023,동호로17다길 2 ~ 2-13(동호로17다길),80
42,중구,2023,동호로17다길 12 ~ 2-13(동호로17다길),70
43,중구,2023,동호로15길 103 ~ 97-42(동호로15길),128
44,중구,2023,동호로11바길 23 ~ 33(동호로11바길),40
45,중구,2023,동호로17가길 2 ~ 18(동호로17가길),92
46,중구,2023,동호로8길 17 ~ 50(동호로8길),150
47,중구,2023,다산로 58 ~ 다산로4길 10(다산로4길),60
48,중구,2023,다산로44길 95 ~ 119(다산로44길),140
49,중구,2023,소공로6가길 2 ~ 29(소공로6가길),140
50,중구,2023,동호로5길(상부),155
51,용산구,2023,대사관로 12길 4-8 ~ 이태원로 222,470
52,용산구,2023,소월로 20길 6~12,130
53,용산구,2023,회나무로 90 ~ 회나무로 44길 2,100
54,용산구,2024,신흥로1차(신흥로93~123),555
55,용산구,2024,효창원로86가길(효창원로86가길26~33),120
56,용산구,2024,신흥로2차(신흥로56~87),660
57,용산구,2024,효창원로(220~228),300
58,용산구,2024,장문로(서빙고로417~장문로141),200
59,용산구,2024,한남동812(독서당로101~103),180
60,용산구,2024,신흥로3가길(신흥로5길69~신흥로3가길 38),230
61,용산구,2024,효창원로 15길(효창원로15길 42 ~ 효창원로 35,435
62,용산구,2024,소월로38길(소월로38길 30~4),324
63,용산구,2024,독서당로29길(독서당로129~독서당로29길5-6),225
64,용산구,2024,한남대로20길(독서당로89),44
65,용산구,2024,두텁바위로5길(두텁바위로5길9~26),90
66,용산구,2024,백범로45길(백범로45길5~8),40
67,용산구,2024,효창원로104길(효창원로266~104가길1`,64
68,용산구,2024,효창원로86라길(효창원로86길 67~86라길14),70
69,용산구,2024,회나무로21길1~회나무로41길 5,860
70,용산구,2024,효창원로154~효창원로72길20,80
71,용산구,2024,장문로66-1~60,110
72,용산구,2024,삼개로(청암동187~산천동202),660
73,용산구,2024,녹사평대로46길 46~92,390
74,용산구,2024,산천동 200 ~ 6-82,345
75,성동구,2018,금호산길 30~40,160
76,성동구,2018,"옥수초 정문 앞
(금호로1길 27)",5
77,성동구,2020,"금북초 후문 통학로
(난계로 61-19 ~ 난계로 63)",40
78,성동구,2020,"응봉초 통학로
(독서당로 384 ~ 독서당로62길 10)",95
79,성동구,2021,금호산길 10-1~40,310
80,성동구,2021,"금호자이1차 @
(금호로 111 ~ 금호로 117)",220
81,성동구,2021,"동산초 통학로
(매봉18길 109 ~금호동2가 1-4)",250
82,성동구,2021,"금옥초 통학로
(독서당로 251-24 ~ 독서당로 253)",150
83,성동구,2021,"응봉초 통학로
(독서당로 384 ~ 독서당로62길 14)",105
84,성동구,2021,"옥수교회 주변
(독서당로 227)",135
85,성동구,2021,"옥정중 통학로
(독서당로 168 ~ 한림말길 20)",190
86,성동구,2021,"옥수종합복지관 앞
(한림말길 16-5)",30
87,성동구,2022,"금호삼성@ ~ 벽산@ 사이도로
(금호동1가 634 ~ 독서당로55길 25-2)",320
88,성동구,2022,"금호2·3가 주민센터
(금호로 141-1 ~ 금호산14길 7-1)",100
89,성동구,2022,독서당로59다길 6 ~ 독서당로59길 84,340
90,성동구,2022,하왕십리동 1050-2 ~ 왕십리로31길 16,165
91,성동구,2022,"왕십리 자이 @ ~ 풍림아이원 @ 사이 도로
(난계로 100 ~ 하왕십리동 1062)",270
92,성동구,2022,"옥정초 통학로
(독서당로 224 ~ 한림말3길 10)",195
93,성동구,2022,"옥수 한남하이츠 빌라
(독서당로39길 34 ~ 48)",150
94,성동구,2022,"동호초 통학로
(매봉길 49-35 ~ 매봉길 50)",265
95,성동구,2023,"금북초 후문 통학로
(행당로1길 13 ~ 난계로 63)",80
96,성동구,2023,"신금호두산의브 @ 앞
(행당로 27)",40
97,성동구,2023,"금호자이2차 @ 경사지
(금호동3가 701 ~ 장터5가길 36)
(금호산8길 5 ~ 무수막길 59)",350
98,성동구,2023,"금호중앙교회 옆 도로
(금호동2가 산 9-1 ~ 금호로13길 20)",130
99,성동구,2023,"서울숲 르씨엘아파트
(독서당로46길 35 ~ 금호로1길 27)",160
